Source,Date,Text,Positive,Neutral,Negative,Compound,Tweets Ago
BBCWorld,Tue Aug 28 23:32:51 +0000 2018,Chemnitz protests: Far-right on march in east Germany https://t.co/pxoNnD0jo1,0.0,0.808,0.192,-0.2263,1
BBCWorld,Tue Aug 28 22:24:35 +0000 2018,"Puerto Rico increases Hurricane Maria death toll to 2,975 https://t.co/mwKJ0Jg1hP",0.0,0.698,0.302,-0.5994,2
BBCWorld,Tue Aug 28 21:35:18 +0000 2018,Didi blames 'ignorance and pride' for carpool murder https://t.co/3WXOvFQz7E,0.139,0.289,0.572,-0.8176,3
BBCWorld,Tue Aug 28 21:12:44 +0000 2018,Canada police arrest teen suspected in German tourist shooting https://t.co/cmalU450UG,0.0,0.65,0.35,-0.5106,4
BBCWorld,Tue Aug 28 21:09:54 +0000 2018,Scallop war: French and British boats clash in Channel https://t.co/rSmYf8wafE,0.0,0.698,0.302,-0.5994,5
BBCWorld,Tue Aug 28 21:00:58 +0000 2018,Morocco: Arrests made in Khadija rape and torture case https://t.co/Kq3RaEGeRk,0.0,0.378,0.622,-0.91,6
BBCWorld,Tue Aug 28 20:20:41 +0000 2018,Nafta: Clock is ticking for Canada in US trade negotiations https://t.co/hIeWqEAOPY,0.0,1.0,0.0,0.0,7
BBCWorld,Tue Aug 28 20:09:31 +0000 2018,Protests as police woman who shot man teaches class on shootings https://t.co/WIAl9SXvUK,0.0,0.853,0.147,-0.2263,8
BBCWorld,Tue Aug 28 18:12:55 +0000 2018,"Russia's massive military drills justified given ""aggressive and unfriendly"" attitudes towards country

https://t.co/70qVOoHVuD",0.161,0.595,0.244,-0.1027,9
BBCWorld,Tue Aug 28 17:43:44 +0000 2018,"Comedians hit out at Louis CK's stand-up return

https://t.co/qZRQIarZfW",0.216,0.784,0.0,0.296,10
BBCWorld,Tue Aug 28 17:01:36 +0000 2018,"🥊🥊

KSI vs Logan Paul: Boxing match shows ""how far YouTubers have come"" 

https://t.co/gTl8AWARFu #KSIvsLogan",0.0,1.0,0.0,0.0,11
BBCWorld,Tue Aug 28 16:54:35 +0000 2018,"Five US cops who were recorded pummelling an unarmed man will not face any charges, authorities have announced https://t.co/jQqK9XukPM",0.092,0.908,0.0,0.2057,12
BBCWorld,Tue Aug 28 16:32:35 +0000 2018,"A former Vatican diplomat who accused the Pope of covering up reports of clerical sex abuse has fled Italy ""in fear… https://t.co/OHXxznVB0N",0.0,0.748,0.252,-0.7506,13
BBCWorld,Tue Aug 28 16:19:22 +0000 2018,"RT @BBCSport: Kevin Strootman has joined Marseille from Roma in a €25m (£22.7m) deal.

👉 https://t.co/qi5uD4AGJi https://t.co/NlA6dGfRxe",0.0,1.0,0.0,0.0,14
BBCWorld,Tue Aug 28 15:52:09 +0000 2018,"After a minister quit on live radio, who's left in Emmanuel Macron's top team? https://t.co/ZQurvrPznX",0.122,0.878,0.0,0.2023,15
